Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,
Minnesota,"508,826","79,069","121,567",239,"1,537","689,586","1,355",8.72,5.67,"642,986","1,264",8.13,5.29,"1,931,808,114","3,797","24,432","15,891","3,004","127,015,764","11,747,810","4,944",,,,,,,,,
Mississippi,"431,193","69,004","112,733",261,"1,634","732,850","1,700",10.62,6.50,"708,658","1,643",10.27,6.29,"1,491,893,887","3,460","21,620","13,234","2,105","111,836,729","12,702,525","6,212",,,,,,,,,
Missouri,"705,970","111,290","184,508",261,"1,658","1,128,097","1,598",10.14,6.11,"1,050,617","1,488",9.44,5.69,"2,455,672,167","3,478","22,066","13,309","2,337","180,494,632","16,892,285","7,898",,,,,,,,,
Montana,"187,346","22,483","33,086",177,"1,472","202,158","1,079",8.99,6.11,"183,383",979,8.16,5.54,"484,701,148","2,587","21,559","14,650","2,643","36,512,359","2,061,885","1,877",,,,,,,,,
Nebraska,"271,901","38,687","58,957",217,"1,524","323,093","1,188",8.35,5.48,"310,472","1,142",8.03,5.27,"871,292,061","3,204","22,522","14,778","2,806","62,587,381","4,790,563","2,646",,,,,,,,,
Nevada,"314,391","43,910","78,342",249,"1,784","529,639","1,685",12.06,6.76,"497,153","1,581",11.32,6.35,"1,298,799,752","4,131","29,579","16,579","2,612","70,493,523","17,264,934","3,356",,,,,,,,,
New Hampshire,"234,713","29,148","47,190",201,"1,619","312,533","1,332",10.72,6.62,"278,094","1,185",9.54,5.89,"732,227,622","3,120","25,121","15,517","2,633","47,726,245","6,195,607","1,785",,,,,,,,,
New Jersey,"1,061,472","158,593","265,565",250,"1,675","1,843,153","1,736",11.62,6.94,"1,641,974","1,547",10.35,6.18,"4,525,612,249","4,264","28,536","17,041","2,756","254,800,716","36,000,546","11,555",,,,,,,,,
New Mexico,"247,550","29,592","45,409",183,"1,535","279,783","1,130",9.45,6.16,"267,317","1,080",9.03,5.89,"723,196,680","2,921","24,439","15,926","2,705","46,656,161","3,937,418","2,520",,,,,,,,,
New York,"1,985,166","302,754","492,253",248,"1,626","3,758,907","1,893",12.42,7.64,"3,259,408","1,642",10.77,6.62,"9,721,023,364","4,897","32,109","19,748","2,982","485,414,507","85,622,545","28,088",,,,,,,,,
North Carolina,"1,141,602","161,147","252,147",221,"1,565","1,659,250","1,453",10.30,6.58,"1,490,821","1,306",9.25,5.91,"3,682,118,978","3,225","22,849","14,603","2,470","260,186,690","26,346,011","12,055",,,,,,,,,
North Dakota,"105,490","17,824","27,570",261,"1,547","149,544","1,418",8.39,5.42,"142,500","1,351",7.99,5.17,"378,509,641","3,588","21,236","13,729","2,656","28,828,120","1,932,556","1,261",,,,,,,,,
Ohio,"1,225,316","190,180","313,647",256,"1,649","1,866,368","1,523",9.81,5.95,"1,711,392","1,397",9.00,5.46,"4,445,651,657","3,628","23,376","14,174","2,598","308,688,829","28,940,737","11,744",,,,,,,,,
